ListName,Id,display_name,Name,label::nepali,media::image::english,media::video::english,media::audio::english,media::image::nepali,media::video::nepali,media::audio::nepali,dist1,q101,q101_b,q101_c,q101_a,q102,q102a
q301a16b,2,,2 days in a week,??????? ? ???,,,,,,,,,,,,,
q301a16b,3,,3 days in a week,??????? ? ???,,,,,,,,,,,,,
q301a16b,4,,4 days in a week,??????? ? ???,,,,,,,,,,,,,
q301a16b,5,,5 days in a week,??????? ? ???,,,,,,,,,,,,,
q301a16b,6,,6 days in a week,??????? ? ???,,,,,,,,,,,,,
q301a16b,7,,7 days in a week,??????? ? ???,,,,,,,,,,,,,
q301a16b,8,,Once in every 15 days.,?? ??? ?? ?? ????,,,,,,,,,,,,,
q301a16b,9,,Once in every month.,???? ??????? ?? ????,,,,,,,,,,,,,
q301a16b,10,,Once in every two months.,??? ??????? ?? ????,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
q301a17,1,,Yes,?,,,,,,,,,,,,,
q301a17,2,,No,???,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
q301a17b,1,,1 day in a week,??????? ? ???,,,,,,,,,,,,,
q301a17b,2,,2 days in a week,??????? ? ???,,,,,,,,,,,,,
q301a17b,3,,3 days in a week,??????? ? ???,,,,,,,,,,,,,
q301a17b,4,,4 days in a week,??????? ? ???,,,,,,,,,,,,,
q301a17b,5,,5 days in a week,??????? ? ???,,,,,,,,,,,,,
q301a17b,6,,6 days in a week,??????? ? ???,,,,,,,,,,,,,
q301a17b,7,,7 days in a week,??????? ? ???,,,,,,,,,,,,,
q301a17b,8,,Once in every 15 days.,?? ??? ?? ?? ????,,,,,,,,,,,,,
q301a17b,9,,Once in every month.,???? ??????? ?? ????,,,,,,,,,,,,,
q301a17b,10,,Once in every two months.,??? ??????? ?? ????,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
q301a18,1,,Yes,?,,,,,,,,,,,,,
q301a18,2,,No,???,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
q301a18b,1,,1 day in a week,??????? ? ???,,,,,,,,,,,,,
q301a18b,2,,2 days in a week,??????? ? ???,,,,,,,,,,,,,
q301a18b,3,,3 days in a week,??????? ? ???,,,,,,,,,,,,,
q301a18b,4,,4 days in a week,??????? ? ???,,,,,,,,,,,,,
q301a18b,5,,5 days in a week,??????? ? ???,,,,,,,,,,,,,
q301a18b,6,,6 days in a week,??????? ? ???,,,,,,,,,,,,,
q301a18b,7,,7 days in a week,??????? ? ???,,,,,,,,,,,,,
q301a18b,8,,Once in every 15 days.,?? ??? ?? ?? ????,,,,,,,,,,,,,
q301a18b,9,,Once in every month.,???? ??????? ?? ????,,,,,,,,,,,,,
q301a18b,10,,Once in every two months.,??? ??????? ?? ????,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
q301b0,1,,Yes,?,,,,,,,,,,,,,
q301b0,2,,No,???,,,,,,,,,,,,,
